domanda;risposta;materia
Soglia di superamento della prova scritta;42/60 (70%);00
Penalità per risposta errata (materie e inglese);-0,50;00
Punteggio di una risposta situazionale neutra;+0,375;00
Durata della prova e numero di quesiti;80 minuti - 60 quesiti;00
Formula PERT (beta);Te = (O + 4M + P) / 6;01
Formula SPI;EV / PV - maggiore di 1 = in anticipo;01
Formula CPI;EV / AC - maggiore di 1 = sotto budget;01
Formula EAC;BAC / CPI;01
Formula ETC;EAC - AC;01
Formula VAC;BAC - EAC;01
Numero di canali di comunicazione con n stakeholder;n(n-1)/2;01
Struttura del PMBOK 7;12 principi e 8 domini di performance;01
Struttura di PRINCE2;7 principi - 7 temi - 7 processi;01
Struttura di Scrum;3 ruoli - 5 eventi - 3 artefatti;01
Durata massima di uno Sprint;1 mese;01
ISO sul program management;ISO 21503;01
ISO sul portfolio management;ISO 21504;01
Tipi di PMO;Supportivo - di controllo - direttivo;01
L. 150/2000 art. 7 - 8 - 9;Portavoce - URP - Ufficio stampa;02
Norma che introduce il FOIA;D.lgs. 97/2016 che modifica il D.lgs. 33/2013;02
Scadenza obiettivi di accessibilità;31 marzo;02
Scadenza dichiarazione di accessibilità;23 settembre;02
Livello WCAG richiesto;2.1 livello AA;02
I quattro principi WCAG;POUR - percepibile utilizzabile comprensibile robusto;02
Direttiva UE sull'accessibilità dei siti pubblici;Direttiva (UE) 2016/2102;02
European Accessibility Act e recepimento;Dir. (UE) 2019/882 - D.lgs. 82/2022;02
Articolo della par condicio sulla comunicazione istituzionale;Art. 9 L. 28/2000;02
Articolo CAD sul RTD;Art. 17;03
Articolo CAD sul Piano Triennale;Art. 14-bis;03
Articolo CAD sulla PDND;Art. 50-ter;03
Articoli CAD su riuso e open source;Artt. 68 e 69;03
Articolo CAD sull'identità digitale;Art. 64;03
Caratteristiche essenziali del cloud secondo NIST;5 - self service - accesso in rete - pooling - elasticità - misurabilità;03
Chi qualifica oggi i servizi cloud per la PA;ACN (competenza passata da AgID);03
DPCM di approvazione del Piano Triennale agg. 2026;DPCM 4 settembre 2025;03
Differenza SLA e OLA;SLA verso il cliente - OLA interno all'organizzazione;03
Formula della precision;TP / (TP + FP);05
Formula della recall;TP / (TP + FN);05
Formula dell'F1 score;2 x (P x R) / (P + R);05
Numero dei livelli di rischio dell'AI Act;4 - inaccettabile alto limitato minimo;05
Sanzione massima per pratiche vietate AI Act;35 milioni di euro o 7% del fatturato mondiale;05
Data di applicazione dei divieti e dell'AI literacy;2 febbraio 2025;05
Data di applicazione generale dell'AI Act;2 agosto 2026;05
Legge italiana sull'intelligenza artificiale;L. 23 settembre 2025 n. 132;05
Pena per la diffusione illecita di deepfake;Reclusione da 1 a 5 anni;05
Termine per i decreti attuativi della L. 132/2025;10 ottobre 2026;05
Struttura del D.lgs. 36/2023;5 libri - 229 articoli - allegati integrati;06
Soglia dell'affidamento diretto per servizi e forniture;140.000 euro;06
Tetto al punteggio economico nell'OEPV;30 punti;06
Durata dello stand still;35 giorni;06
Articolo del codice appalti sulla revisione prezzi;Art. 60 - obbligatoria;06
Articolo del codice appalti su procedure automatizzate e IA;Art. 30;06
Norma sull'obbligo Consip per beni e servizi ICT;Art. 1 comma 512 L. 208/2015;06
Numero dei principi dell'art. 5 GDPR;7 compreso l'accountability;07
Base giuridica tipica del trattamento nella PA;Art. 6.1.e - compito di interesse pubblico o pubblici poteri;07
Termine di notifica del data breach al Garante;72 ore;07
Termine di riscontro ai diritti dell'interessato;1 mese prorogabile di 2;07
Articolo GDPR sulla DPIA;Art. 35;07
Articoli GDPR sul DPO;Artt. 37-39;07
Termine di notifica nel Perimetro di sicurezza nazionale cibernetica;6 ore;07
Termini di notifica NIS2;Pre-notifica 24 ore - notifica 72 ore - relazione finale 1 mese;07
Decreto di recepimento della NIS2;D.lgs. 138/2024;07
Decreto istitutivo dell'ACN;DL 82/2021 conv. L. 109/2021;07
Funzioni del NIST CSF 2.0;6 - Govern Identify Protect Detect Respond Recover;07
Regola del backup 3-2-1;3 copie - 2 supporti diversi - 1 fuori sede;07
Differenza fra RTO e RPO;RTO tempo massimo di ripristino - RPO massima perdita di dati;07
Regolamento del dispositivo per la ripresa e resilienza;Reg. (UE) 2021/241;08
Numero delle missioni del PNRR;6;08
Dotazione iniziale del PNRR italiano;Circa 191,5 miliardi (68,9 sovvenzioni + 122,6 prestiti);08
Quota minima delle risorse PNRR destinata al digitale;20%;08
Data di completamento del PNRR;31 agosto 2026;08
Differenza fra milestone e target;Milestone qualitativa - target quantitativo;08
Sistema informativo di monitoraggio del PNRR;ReGiS;08
Articolo sugli obblighi di visibilità dei fondi PNRR;Art. 34 Reg. (UE) 2021/241;08
Investimento M1C1 di PDND e ANPR;1.3 Dati e interoperabilità;08
Investimento M1C1 del Polo Strategico Nazionale;1.1 Infrastrutture digitali;08
Articoli della Costituzione sul Governo;Artt. 92-96;09
Articolo della Costituzione sulla direzione della politica generale;Art. 95;09
Articolo della L. 400/1988 sulle attribuzioni del Presidente del Consiglio;Art. 5;09
Articolo della L. 400/1988 sui regolamenti;Art. 17;09
Decreto legislativo sull'ordinamento della PCM;D.lgs. 303/1999;09
Articolo del D.lgs. 303/1999 sul Segretario generale;Art. 18;09
Articolo del D.lgs. 303/1999 sul DAGL;Art. 6;09
DPCM sulle strutture generali della PCM;DPCM 1 ottobre 2012;09
Norma istitutiva del CITD;Art. 8 DL 22/2021 conv. L. 55/2021;09
